route,label,declared_status,page_exists,e2e_specs,finding
/pos/cashiers,Cashiers,AVAILABLE,yes,apps/web/e2e/pos-accessibility.spec.ts;apps/web/e2e/pos-visual-qa.spec.ts,
/pos/settings,Settings,AVAILABLE,yes,,
/pos/promotions,Promotions,AVAILABLE,yes,apps/web/e2e/pos-accessibility.spec.ts;apps/web/e2e/pos-visual-qa.spec.ts,
/pos/coupons,Coupons,AVAILABLE,yes,apps/web/e2e/pos-accessibility.spec.ts;apps/web/e2e/pos-visual-qa.spec.ts,
/pos/discount-approvals,Discount Approvals,AVAILABLE,yes,,
/pos/shifts,Shifts,AVAILABLE,yes,apps/web/e2e/pos-authorization.spec.ts;apps/web/e2e/pos-shifts-cash-and-safety.spec.ts,
/pos/cash-movement,Cash Movement,AVAILABLE,yes,apps/web/e2e/pos-shifts-cash-and-safety.spec.ts,
/pos/returns,Returns,AVAILABLE,yes,apps/web/e2e/pos-accessibility.spec.ts;apps/web/e2e/pos-returns.spec.ts;apps/web/e2e/pos-visual-qa.spec.ts,
/pos/customers,Customers,AVAILABLE,yes,,
/pos/loyalty,Loyalty,AVAILABLE,yes,apps/web/e2e/pos-accessibility.spec.ts;apps/web/e2e/pos-visual-qa.spec.ts,
/pos/invoices,Invoices,AVAILABLE,yes,apps/web/e2e/pos-accessibility.spec.ts;apps/web/e2e/pos-visual-qa.spec.ts,
/pos/inventory,POS Inventory,AVAILABLE,yes,,
/pos/offline-sync-conflicts,Offline Sync Conflicts,AVAILABLE,yes,apps/web/e2e/pos-accessibility.spec.ts;apps/web/e2e/pos-visual-qa.spec.ts,
/pos/reports/day-end,Day-end (Z) Reports,AVAILABLE,yes,apps/web/e2e/pos-accessibility.spec.ts;apps/web/e2e/pos-visual-qa.spec.ts,
/pos/reconciliation,Reconciliation,AVAILABLE,yes,apps/web/e2e/pos-accessibility.spec.ts;apps/web/e2e/pos-visual-qa.spec.ts,
/pos/accounting,Accounting Posting,AVAILABLE,yes,apps/web/e2e/pos-accessibility.spec.ts;apps/web/e2e/pos-visual-qa.spec.ts,
/pos/analytics,Analytics,AVAILABLE,yes,apps/web/e2e/pos-accessibility.spec.ts;apps/web/e2e/pos-visual-qa.spec.ts,
/pos/reports,Reports,AVAILABLE,yes,apps/web/e2e/pos-accessibility.spec.ts;apps/web/e2e/pos-visual-qa.spec.ts,
/quality,Home,AVAILABLE,yes,,
/quality/plans,Quality Plans,AVAILABLE,yes,,
/quality/sampling-plans,Sampling Plans,AVAILABLE,yes,,
/quality/inspections,Inspections,AVAILABLE,yes,,
/quality/open-inspections,Open Inspections,AVAILABLE,yes,,
/quality/nonconformances,Non-Conformances,AVAILABLE,yes,,
/quality/holds,Quality Holds,AVAILABLE,yes,,
/quality/capa,CAPA,AVAILABLE,yes,,
/quality/supplier-records,Supplier Quality,AVAILABLE,yes,,
/quality/complaints,Customer Complaints,AVAILABLE,yes,,
/quality/audits,Audits,AVAILABLE,yes,,
/quality/calibration,Calibration,AVAILABLE,yes,,
/quality/certificates,Certificates,AVAILABLE,yes,,
/quality/documents,Documents,AVAILABLE,yes,,
/support,Home,AVAILABLE,yes,,
/support/my-tickets,My Tickets,AVAILABLE,yes,,
/support/tickets,All Tickets,AVAILABLE,yes,,
/support/unassigned,Unassigned,AVAILABLE,yes,,
/support/escalated,Escalated,AVAILABLE,yes,,
/support/categories,Categories,AVAILABLE,yes,,
/support/queues,Team Queues,AVAILABLE,yes,,
/support/routing-rules,Routing,AVAILABLE,yes,,
/support/sla-policies,SLA Policies,AVAILABLE,yes,,
/support/breaches,Breaches,AVAILABLE,yes,,
/support/escalation-policies,Escalations,AVAILABLE,yes,,
/support/escalations-admin,Escalation Log,AVAILABLE,yes,,
/support/knowledge-articles,Articles,AVAILABLE,yes,,
/support/canned-responses,Canned Responses,AVAILABLE,yes,,
/support/entitlements,Entitlements,AVAILABLE,yes,,
/support/portal-users,Portal Administration,AVAILABLE,yes,,
/support/portal-tickets,My Tickets,AVAILABLE,yes,,
/support/portal-articles,Help Articles,AVAILABLE,yes,,
/support/csat,CSAT,AVAILABLE,yes,,
/support/agent-performance,Agent Performance,AVAILABLE,yes,,
/support/sla-reports,SLA Reports,AVAILABLE,yes,,
/hr,Home,AVAILABLE,yes,apps/web/e2e/accounting-journal.spec.ts;apps/web/e2e/assets-lifecycle.spec.ts;apps/web/e2e/hr-payroll.spec.ts;apps/web/e2e/hr-performance.spec.ts;apps/web/e2e/hr-recruitment.spec.ts;apps/web/e2e/hr-time-leave.spec.ts;apps/web/e2e/hr-workforce.spec.ts;apps/web/e2e/projects-delivery.spec.ts,
/hr/me,My Profile,AVAILABLE,yes,apps/web/e2e/hr-workforce.spec.ts,
/hr/settings,Settings,AVAILABLE,yes,,
/hr/employees,Employees,AVAILABLE,yes,apps/web/e2e/hr-recruitment.spec.ts;apps/web/e2e/hr-workforce.spec.ts,
/hr/organization,Organization,AVAILABLE,yes,apps/web/e2e/hr-workforce.spec.ts,
/hr/departments,Departments,AVAILABLE,yes,,
/hr/positions,Positions,AVAILABLE,yes,,
/hr/documents,Documents,AVAILABLE,yes,apps/web/e2e/hr-workforce.spec.ts,
/hr/document-types,Document Types,AVAILABLE,yes,,
/hr/profile-requests,Profile Requests,AVAILABLE,yes,apps/web/e2e/hr-workforce.spec.ts,
/hr/onboarding,Onboarding,AVAILABLE,yes,,
/hr/probation,Probation,AVAILABLE,yes,,
/hr/confirmations,Confirmations,AVAILABLE,yes,,
/hr/probation-extensions,Probation Extensions,AVAILABLE,yes,,
/hr/transfers,Transfers,AVAILABLE,yes,apps/web/e2e/hr-workforce.spec.ts,
/hr/promotions,Promotions,AVAILABLE,yes,,
/hr/offboarding,Offboarding,AVAILABLE,yes,apps/web/e2e/hr-workforce.spec.ts,
/hr/separations,Separations,AVAILABLE,yes,apps/web/e2e/hr-workforce.spec.ts,
/hr/openings,Job Openings,AVAILABLE,yes,apps/web/e2e/hr-recruitment.spec.ts,
/hr/candidates,Candidates,AVAILABLE,yes,apps/web/e2e/hr-recruitment.spec.ts,
/hr/applications,Pipeline,AVAILABLE,yes,apps/web/e2e/hr-recruitment.spec.ts,
/hr/interviews,Interviews,AVAILABLE,yes,apps/web/e2e/hr-recruitment.spec.ts,
/hr/my-interviews,My Interviews,AVAILABLE,yes,apps/web/e2e/hr-recruitment.spec.ts,
/hr/offers,Offers,AVAILABLE,yes,apps/web/e2e/hr-recruitment.spec.ts,
/hr/attendance,Attendance,AVAILABLE,yes,apps/web/e2e/hr-time-leave.spec.ts,
/hr/my-attendance,My Attendance,AVAILABLE,yes,apps/web/e2e/hr-time-leave.spec.ts,
/hr/regularizations,Corrections,AVAILABLE,yes,,
/hr/team-corrections,Team Corrections,AVAILABLE,yes,apps/web/e2e/hr-time-leave.spec.ts,
/hr/late-early,Late & Early,AVAILABLE,yes,,
/hr/shifts,Shifts,AVAILABLE,yes,,
/hr/shift-assignments,Shift Assignments,AVAILABLE,yes,,
/hr/holiday-calendars,Holiday Calendars,AVAILABLE,yes,,
/hr/holidays,Holidays,AVAILABLE,yes,,
/hr/overtime,Overtime,AVAILABLE,yes,,
